title,ingredients
Lemon Poppy Seed Quick Cake,"['(18.25 ounce) package reduced fat yellow cake mix', 'poppy seeds', '(8 ounce) container lemon yogurt', 'water', 'vegetable oil', 'sugar', '', 'lemon juice']"
Lemon Pound Cake Cookies,"['white sugar', 'salted sweet cream butter, softened', 'all-purpose flour', 'baking powder', '', 'lemon extract']"
Lemon Pound Cake I,"['unsalted butter', 'white sugar', '', 'cake flour', 'dry milk powder', 'corn syrup', ', juiced', 'salt', 'vanilla extract', 'ground nutmeg', 'baking powder', 'ground mace (optional)']"
Lemon Pound Cake II,"['(18.25 ounce) package lemon cake mix', '(3 ounce) package instant lemon pudding mix', '', 'water', 'vegetable oil']"
Lemon Pound Cake III,"['all-purpose flour', 'baking powder', 'salt', 'nutmeg', 'butter flavored shortening', 'white sugar', '', 'sour cream', '1/4 teaspoons vanilla extract', '1/4 teaspoons lemon extract', 'milk']"
Lemon Pudding Cake I,"[', separated', 'lemon juice', 'lemon zest', 'butter', '1/2 cups white sugar', 'sifted all-purpose flour', 'salt', '1/2 cups milk']"
Lemon Pudding Cake II,"['white sugar', 'salt', 'butter, melted', 'sifted all-purpose flour', 'grated lemon zest', 'lemon juice', '1/2 cups milk', 'yolks', 'whites']"
Lemon Pudding Lavender Cake,"['Cake:', 'cooking spray', '(15.25 ounce) package lemon cake mix', 'water', '', 'butter, softened', '(3 ounce) package instant lemon pudding mix', 'ground lavender', 'Frosting:', '(16 ounce) container lemon frosting', 'ground lavender']"
Lemon Pudding Poke Cake,"['(2-layer size) white cake mix', 'whites', '1/3 cups water', 'oil', 'cold milk', '. (4 serving size) JELL-O Lemon Flavor Instant Pudding & Pie Filling']"
Lemon Raisin Couscous Cake,"['1/2 cups uncooked couscous', 'raisins', '1/8 cups boiling water', '', 'white sugar', 'lemon curd', ', juiced and zested']"
Lemon Sponge Cake I,"['cake flour', 'salt', 'baking powder', '', 'white sugar', 'lemon juice', 'lemon extract', 'hot milk']"
Lemon Sponge Cake II,"['whites', 'brown sugar', 'fructose (fruit sugar)', 'salt', 'yolks', 'brown sugar', 'fructose (fruit sugar)', 'all-purpose flour', 'fresh lemon juice']"
Lemon Wow Cake,"['(18.25 ounce) package yellow cake mix', '(3.5 ounce) package instant coconut cream pudding mix', 'dried tarragon', 'lemon-lime flavored carbonated beverage', 'lemon juice', '', 'vegetable oil']"
Lemonade Cake I,"['(18.25 ounce) package yellow cake mix', 'vanilla ice cream', 'red food coloring', '(6 ounce) can frozen lemonade concentrate, thawed', 'heavy whipping cream', 'white sugar']"
Lemonade Cake II,"['(3 ounce) package lemon flavored Jell-O®', 'boiling water', '(18.25 ounce) package lemon cake mix', 'vegetable oil', '', '(6 ounce) can frozen lemonade concentrate, thawed', 'white sugar']"
Lemonade Cake III,"['(18.25 ounce) package lemon cake mix', '(3 ounce) package instant lemon pudding mix', '', 'vegetable oil', 'water', '(6 ounce) can frozen lemonade concentrate, thawed', 'white sugar']"
Lemony Cashew Cake with Fresh Strawberries,"['gluten-free all purpose baking flour*', 'baking powder', 'baking soda', 'salt', 'raw sugar', 'So Delicious® Dairy Free Cashew Milk', 'vegetable or coconut oil', 'lemon juice', 'lemon zest', 'raw unsalted cashew pieces, roughly chopped']"
Leprechaun Key Lime Cake,"['Cake:', 'Duncan Hines® Moist Deluxe® Lemon Cake Mix', '(3.4 ounce) package lemon instant pudding and pie filling mix', 'eggs', 'vegetable oil', 'water', 'Key lime juice', 'Glaze:', 'icing sugar', 'Key lime juice', 'water', 'butter or margarine, melted', 'Garnish:', 'icing sugar', 'lime slices', 'fresh strawberry slices']"
Lick Your Lips Cake,"['(18.25 ounce) package yellow cake mix', '', '(11 ounce) can mandarin orange segments', '(15 ounce) can crushed pineapple with juice', '(12 ounce) container frozen whipped topping, thawed', '(3.5 ounce) package instant vanilla pudding mix']"
Light and Chewy Cake Cookies,"['(18.25 ounce) package reduced fat white cake mix', 'low-fat sweetened condensed milk', 'egg substitute', 'peanut butter chips', 'semisweet chocolate chips']"
Light Marble Pound Cake,"['all-purpose flour', 'baking powder', 'butter, softened', 'vegetable shortening', 'white sugar', '', 'unsweetened applesauce', 'milk', 'vanilla extract', 'lemon juice', 'unsweetened cocoa powder', 'white sugar', 'water']"
Linda Sue's Chocolate Cake (Vegan),"['all-purpose flour', 'white sugar', 'unsweetened cocoa powder', 'baking soda', 'water', 'canola oil', 'cider vinegar']"
Lisa's Chocolate Chocolate Chip Cake,"['(18.25 ounce) package chocolate cake mix', '(3.9 ounce) package instant chocolate pudding mix', 'vegetable oil', '', 'hot water', 'sour cream', 'vanilla extract', 'mini semi-sweet chocolate chips']"
Lite Carrot Cake,"['cake flour', 'whole wheat flour', 'packed brown sugar', 'white sugar', 'baking powder', 'baking soda', '1/2 teaspoons ground cinnamon', '', 'vegetable oil', 'buttermilk', '1/2 cups grated carrots']"
Lite Coconut Cake,"['(18.25 ounce) package white cake mix', 'white sugar', '(8 ounce) container fat free sour cream', 'flaked coconut', '1/2 cups lite frozen whipped topping']"
Lord Baltimore Cake,"['3/4 cups cake flour', 'baking powder', '1/4 teaspoons salt', 'butter, softened', 'white sugar', 'yolks', '1/4 cups milk', 'vanilla extract', 'crushed macaroon cookies', 'chopped pecans', 'chopped blanched almonds', 'cherries, quartered', 'lemon juice', 'orange zest']"
Lori's White Bread Cake,"['shortening', 'white sugar', '', 'all-purpose flour', 'baking soda', 'vanilla extract', 'buttermilk', 'salt']"
Low-Fat Lemon Raspberry Cake,"['cooking spray', 'Cake batter:', '(18.25 ounce) package lemon cake mix', '(3 ounce) package sugar-free lemon pudding mix', '1/4 cups water', 'fat-free sour cream', 'egg whites', 'Filling:', '(12 ounce) package frozen raspberries, thawed and drained (reserve drained liquid)', '1/2 teaspoons cornstarch', 'Frosting:', '(8 ounce) container fat-free lemon yogurt', '(8 ounce) container reduced-fat frozen whipped topping, thawed']"
Low Sugar Date Cake,"['margarine', '', 'liquid sweetener', 'vanilla extract', 'ground cloves', 'ground cinnamon', 'self-rising flour', 'baking powder', 'dates, pitted and chopped', 'chopped pecans', '1/2 cups unsweetened applesauce']"
Low Sugar Mocha Nut Cake,"['hot water', 'instant coffee powder', 'butter', 'packed brown sugar', '(1 gram) packets artificial sweetener', '', 'vanilla extract', '1/2 cups all-purpose flour', 'unsweetened cocoa powder', 'dry milk powder', 'baking powder', 'salt', 'chopped walnuts']"
Luscious Date Bar Cake,"['all-purpose flour', 'baking powder', 'salt', 'brown sugar', ', beaten', 'vanilla extract', '1/2 cups chopped pecans', 'chopped dates']"
Luscious Lemon Cake,"['', '(3 ounce) package instant lemon pudding mix', 'vegetable oil', '(18.25 ounce) package lemon cake mix', 'water', 'lemon juice', ""sifted confectioners' sugar"", ""confectioners' sugar for dusting""]"
Lynn's Carrot Cake,"['all-purpose flour', 'white sugar', 'baking soda', 'salt', 'unsweetened cocoa powder', '', 'vanilla extract', '1/2 cups vegetable oil', 'grated carrots', 'crushed pineapple with juice', '(8 ounce) package cream cheese', 'butter', ""confectioners' sugar"", 'flaked coconut', 'chopped walnuts']"
Macadamia Pineapple Dream Cake,"['all-purpose flour', '1/4 teaspoons baking powder', 'salt', 'butter, softened', 'white sugar', '', 'vanilla extract', 'milk', 'chopped macadamia nuts', '(8 ounce) can crushed pineapple in heavy syrup', 'cornstarch']"
Made Me Love Pumpkin Cake,"['Cake:', 'milk', 'apple cider vinegar', 'white sugar', 'packed brown sugar', 'vegetable oil', 'butter, melted', 'vanilla extract', 'canned pumpkin puree', 'all-purpose flour', 'regular rolled oats', '1/4 teaspoons baking powder', '1/4 teaspoons baking soda', 'ground cinnamon', 'ground nutmeg', 'ground cloves', 'chopped walnuts', 'Frosting:', '(16 ounce) container cream cheese frosting', 'ground cinnamon']"
Madison's Angel Food Cake French Toast,"['(18.25 ounce) package angel food cake mix', '1/4 cups water', '', 'whole milk', 'brown sugar', 'ground cinnamon', 'vanilla extract', 'salt', 'butter, divided']"
Mafioso Chocolate Cake,"['Dutch process cocoa powder', 'boiling water', 'baking soda', 'sour cream', 'butter', 'white sugar', 'sifted cake flour', 'whites', '1/2 teaspoons vanilla extract', 'butter, softened', 'Dutch process cocoa powder', ""2/3 cups confectioners' sugar"", 'milk', 'vanilla extract']"
Magic Cake,"['at room temperature, separated', 'white sugar', 'butter, melted', 'vanilla extract', 'all-purpose flour', 'lukewarm milk', ""confectioners' sugar, or to taste""]"
Magic Spice Cake,"['all-purpose flour', 'cornstarch', 'white sugar', 'baking powder', 'baking soda', 'salt', 'ground cloves', 'ground cinnamon', 'shortening', 'buttermilk', '']"
Make-Ahead Sour Cream Coffee Cake,"['butter, softened', 'white sugar', '', '(8 ounce) carton sour cream', 'all-purpose flour', 'baking powder', 'baking soda', 'ground nutmeg', 'salt', 'packed brown sugar', 'chopped pecans', 'ground cinnamon']"
Mama Gunn's Pound Cake,"['all-purpose flour', 'baking powder', 'salt', 'butter', 'shortening', 'white sugar', 'eggs', 'milk', 'lemon extract', 'vanilla extract']"
Mamaw's Devils Food Cake,"['½ cups white sugar', 'butter', '', 'vanilla extract', '½ cups all-purpose flour', '¼ cup unsweetened cocoa powder', 'baking soda', 'ground cinnamon', 'ground cloves', 'buttermilk', '¼ cup unsweetened cocoa powder', '¼ cup butter', 'milk', 'white sugar', 'all-purpose flour']"
Mamie's Blackberry Cake with Caramel Icing,"['Cake:', 'white sugar', 'solid vegetable shortening (such as Crisco®)', '', 'ground cinnamon', 'ground cloves', 'vanilla extract', 'buttermilk', 'baking soda', '1/2 cups all-purpose flour', 'blackberries, drained', 'Icing:', 'packed brown sugar', 'evaporated milk', 'butter', 'vanilla extract']"
Mandarin Orange Cake I,"['(18.25 ounce) package yellow cake mix', '', 'vegetable oil', '(11 ounce) can mandarin orange segments', '(8 ounce) container frozen whipped topping, thawed', '(20 ounce) can crushed pineapple with juice', '(3.5 ounce) package instant vanilla pudding mix']"
Mandarin Orange Cake II,"['For the Cake:', '(18.25 ounce) package yellow cake mix', '', '(11 ounce) can mandarin oranges', 'vegetable oil', 'For the Soaking Syrup:', 'water', 'white sugar', 'orange liqueur, such as Grand Marnier®', 'For Decorating:', '(15 ounce) cans mandarin oranges, drained', ""Frosting or whipped cream (see Editor's Notes)""]"
Mandarin Orange Cake III,"['all-purpose flour', 'white sugar', 'baking soda', 'salt', '', 'vanilla extract', '(15 ounce) can mandarin oranges, drained', 'chopped walnuts', 'brown sugar', 'milk', 'butter', 'flaked coconut', 'chopped walnuts']"
Mango and Mixed Fruit Cake,"['(15.25 ounce) can mango slices, with juice', '2/3 cups candied mixed fruit peel', 'rum', 'ground cinnamon', 'ground nutmeg', ', beaten', 'vanilla extract', 'all-purpose flour', 'baking powder']"
Mango and White Chocolate Mousse Cake,"['white chocolate', 'heavy whipping cream', 'heavy whipping cream', 'chopped fresh mango', 'white sugar', 'hot water', '(.25 ounce) package unflavored gelatin']"
Mango Cake,"['1/2 cups all-purpose flour', 'baking soda', 'butter', 'white sugar', '', 'buttermilk', 'vanilla extract', 'mango puree', 'chopped walnuts']"
Mango Ice Box Cake,"['(14 ounce) can sweetened condensed milk', 'cream', '', ', peeled and sliced', ', crumbled']"
Maple Nut Cake,"['butter, softened', 'white sugar', '', 'maple flavored extract', '1/2 cups all-purpose flour', 'baking powder', 'salt', 'milk', 'chopped walnuts']"
Maple Walnut Chiffon Cake,"['pastry flour', '1/2 cups white sugar', 'baking powder', 'salt', 'lukewarm water', 'vegetable oil', 'yolks', 'vanilla extract', 'maple-flavored extract', 'finely chopped walnuts', 'egg whites', 'cream of tartar', '(3.4 ounce) package instant butterscotch pudding mix', 'milk', 'whipped cream']"
Maple Walnut Crumb Cake,"['all-purpose flour', 'white sugar', 'salt', '1/2 teaspoons baking powder', '', '1/4 cups vegetable oil', '1/8 cups milk', 'vanilla extract', 'maple flavored extract', 'butter, softened', 'ground cinnamon', 'ground walnuts', 'chopped walnuts', ""confectioners' sugar for dusting""]"
Maraschino Cherry Nut Cake,"['(10 ounce) jar maraschino cherries', '1/4 cups sifted cake flour', '1/2 teaspoons baking powder', 'salt, divided', 'shortening', '1/3 cups white sugar', 'whites, room temperature', 'milk, room temperature', 'chopped pecans', 'butter, room temperature', ""sifted confectioners' sugar, divided"", 'milk', 'red food coloring', '1/2 teaspoons vanilla extract', 'cherries, with stems']"
Maraschino Cherry Pound Cake,"['1/2 cups shortening', '', 'baking powder', 'butternut flavored extract', 'white sugar', '3/4 cups all-purpose flour', 'milk', 'maraschino cherries, chopped', 'cream cheese', 'butter, softened', ""sifted confectioners' sugar"", 'maraschino cherries, chopped', 'flaked coconut (optional)']"
Marble Bundt Cake,"['melted butter', 'white sugar', '', 'whiskey', ', zested and juiced', 'plain yogurt', 'vanilla extract', 'salt', 'all-purpose flour', '1/2 teaspoons baking powder', 'unsweetened cocoa powder', 'salt']"
Marble Cake I,"['all-purpose flour', 'baking powder', 'salt', 'white sugar', 'butter, softened', '', 'vanilla extract', 'milk', 'unsweetened cocoa powder']"
Marble Cake II,"['shortening', 'white sugar', '', 'vanilla extract', 'buttermilk', 'all-purpose flour', 'baking soda', 'salt', '(5.5 ounce) can chocolate syrup']"
Marble Crumb Cake,"['1/2 cups all-purpose flour', 'packed brown sugar', 'butter', 'chopped walnuts', 'white sugar', 'baking soda', 'salt', 'shortening', '', 'buttermilk', 'vanilla extract', 'semisweet chocolate chips']"
Marble Swirl Pound Cake,"['white sugar', 'butter, softened', '1/2 cups cake flour', 'milk', '1/2 teaspoons baking powder', 'vanilla extract', 'salt', '', 'unsweetened cocoa powder']"
Marbled Tea Cake,"['3/4 cups all-purpose flour', 'baking powder', 'salt', 'butter', 'white sugar', '', 'milk', 'vanilla extract', 'instant coffee granules', 'boiling water', 'cinnamon sugar']"
Mardi Gras King Cake,"['PASTRY:', 'milk', 'butter', '(.25 ounce) packages active dry yeast', 'warm water (110 degrees F/45 degrees C)', 'white sugar', '', '1/2 teaspoons salt', 'freshly grated nutmeg', '1/2 cups all-purpose flour', 'FILLING:', 'packed brown sugar', 'ground cinnamon', 'chopped pecans', 'all-purpose flour', 'raisins', 'melted butter', 'FROSTING:', ""confectioners' sugar"", 'water']"
Margareta's Cardamom Cake,"['Cake:', 'butter, divided, softened', 'plain dry bread crumbs', '2/3 cups all-purpose flour', 'white sugar', 'milk', 'ground cardamom', 'baking powder', 'Topping:', 'ground cinnamon', 'pearl sugar']"
Margarita Cake with Key Lime Cream Cheese Frosting,"['(18.25 ounce) package white cake mix', 'whites', '(10 fluid ounce) can frozen margarita mix (such as Bacardi®), thawed', 'vegetable oil', 'grated lime peel', 'lime juice', '(8 ounce) package cream cheese, softened', 'unsalted butter, softened', 'grated lemon peel', 'lime juice', ""confectioners' sugar""]"
Margarita Cake,"['(18.25 ounce) package orange cake mix', '(3.4 ounce) package instant vanilla pudding mix', '', 'vegetable oil', 'water', 'lemon juice', 'tequila', 'triple sec liqueur', ""confectioners' sugar"", 'tequila', 'triple sec liqueur', 'lime juice']"
Marie-Claude's Orange Cake,"['vegetable oil', 'white sugar', '', 'plain yogurt', ', zested and juiced', '1/2 cups all-purpose flour', 'baking powder']"
Maritime War Cake,"['water', 'raisins', 'light molasses', 'white sugar', 'shortening', 'all-purpose flour', 'baking soda', 'ground cinnamon']"
Marron Layer Cake,"['white sugar', '', 'vegetable oil', 'white wine', '1/2 cups all-purpose flour', 'salt', 'baking powder', 'vanilla extract', 'sweetened chestnut puree', 'unsalted butter', '(1 ounce) squares semi-sweet chocolate', 'cream', 'vanilla extract', ""confectioners' sugar"", 'glaces (candied chestnuts)']"
Marshmallow Cake,"['(10.5 ounce) package marshmallows', 'milk', '(8 ounce) package cream cheese, softened', 'yolk', ', juiced', 'heavy cream', '(9 inch) prepared graham cracker crust']"
Martha Washington's Cake,"['3/4 cups golden raisins', 'dried currants', 'orange zest', 'candied lemon peel', 'chopped candied citron', 'candied angelica', 'red candied cherries', 'green candied cherries', 'brandy', '1/2 cups sifted all-purpose flour', 'ground mace', 'ground nutmeg', 'butter, softened', 'white sugar', ', separated', 'fresh lemon juice', 'sherry', 'sherry']"
Mary Anne's Carrot Cake,"['ground carrots', '(15 ounce) cans crushed pineapple, drained', '1/2 cups vegetable oil', 'white sugar', '', 'ground cinnamon', 'ground nutmeg', 'all-purpose flour', 'baking soda', 'salt', '1/2 cups raisins']"
Mary Oppenhiemer's Butter Cake,"['white sugar', 'unsalted butter', '', 'salt', 'baking soda', 'vanilla extract', '3/4 cups all-purpose flour', 'buttermilk', 'packed brown sugar', 'butter', 'evaporated milk', 'vanilla extract']"
Maryann's Upside Down Rhubarb Cake,"['(18.25 ounce) package moist yellow cake mix', 'diced rhubarb', '1/4 cups white sugar', 'whipping cream']"
Maryland OLD BAY® Crab Cake Dip,"['(1.24 ounce) package OLD BAY® Crab Cake Classic® Mix', 'butter, melted', '(8 ounce) package cream cheese, softened', 'mayonnaise', 'Old Bay® Seasoning', 'lump crabmeat']"
Maui Banana Cream Tube Cake,"['butter', '1/4 cups white sugar', '', 'vanilla extract', '1/4 cups mashed ripe bananas', 'all-purpose flour', '1/4 teaspoons baking powder', 'baking soda', 'salt', 'nonfat plain yogurt', 'chopped pecans', ""confectioners' sugar, or to taste""]"
Maureen's Mocha Cake,"['1/4 cups all-purpose flour', '1/2 teaspoons baking soda', 'unsweetened cocoa', 'strong brewed coffee, cold', 'coffee flavored liqueur', 'shortening', 'brown sugar', 'yolks', 'whites', 'white sugar', 'butter, softened', ""confectioners' sugar"", 'unsweetened cocoa', 'coffee flavored liqueur', 'hot brewed coffee']"
Mayo Cake with Peanut Butter Icing,"['Cake:', 'all-purpose flour', 'white sugar', 'mayonnaise', 'water', 'unsweetened cocoa powder', 'baking soda', 'Icing:', 'white sugar', 'evaporated milk', 'margarine', 'miniature marshmallows', 'peanut butter', 'vanilla extract']"
Mayonnaise Cake  I,"['mayonnaise', 'white sugar', 'water', 'all-purpose flour', '1/2 teaspoons baking soda', 'unsweetened cocoa powder', 'salt', 'vanilla extract']"
Mayonnaise Cake  II,"['all-purpose flour', '1/2 teaspoons baking soda', 'white sugar', 'salt', 'water', 'mayonnaise', '(1 ounce) squares unsweetened chocolate, melted']"
Mayonnaise Cake III,"['hot water', 'mayonnaise', 'vanilla extract', 'white sugar', 'all-purpose flour', 'baking soda', 'unsweetened cocoa powder']"
Mazarin Cake I,"['unsalted butter', '1/2 teaspoons white sugar', 'salt', 'yolks', '1/3 cups all-purpose flour', 'unsalted butter', 'almond paste', ', beaten', 'lemon zest', 'all-purpose flour']"
Mazarin Cake II,"['all-purpose flour', 'white sugar', 'butter', 'yolk', '1/2 ounces almond paste', 'butter, chilled', '', 'almond extract', ""confectioners' sugar"", 'water', 'cherries, garnish']"
Melt In Your Mouth Blueberry Cake,"['butter', 'white sugar', 'salt', 'vanilla extract', 'yolks', '1/2 cups all-purpose flour', 'baking powder', 'milk', 'whites', 'white sugar', '1/2 cups fresh blueberries', 'all-purpose flour', 'white sugar']"
Melted Ice Cream Cake,"['cooking spray', 'all-purpose flour', 'melted ice cream', '(15.25 ounce) package cake mix', '']"
Memaw's Lemon Sunshine Cake,"['(18.25 ounce) package lemon cake mix', '(3 ounce) package instant lemon pudding mix', 'white sugar', '', 'peach nectar', 'vegetable oil', ""sifted confectioners' sugar"", 'peach nectar', 'lemon juice', 'grated lemon peel']"
Meringue Cake with Whipped Cream and Raspberries,"[""confectioners' sugar"", 'granulated sugar, plus', 'granulated sugar', 'cornstarch', 'egg whites, at room temperature', 'cream of tartar', 'heavy cream', 'vanilla extract', 'fresh raspberries', 'NOTE: You will need parchment paper for this recipe.']"
Mexican Cheese Cake,"['(8 ounce) package cream cheese, softened', 'sour cream', 'creamy salad dressing (such as Miracle Whip®)', '(1 ounce) packet taco seasoning', 'salsa', 'shredded Cheddar cheese', ', chopped', 'bell pepper, chopped', 'green onions, chopped']"
Mexican Chocolate/Salted Caramel Cake in a Mug,"['all-purpose flour', 'white sugar', 'unsweetened cocoa powder', 'chocolate chips', 'baking powder', 'salt', 'cayenne pepper', 'ground cinnamon', 'milk', 'canola oil', ', beaten', 'vanilla extract', 'wrapped caramels, unwrapped and halved', 'kosher salt']"
Mexican Mocha Bundt Cake,"['(5.1 ounce) package instant vanilla pudding mix, divided', 'milk', '(18.25 ounce) package chocolate cake mix (such as Pillsbury® Moist Supreme® Dark Chocolate flavor)', 'vegetable oil', '', 'milk', 'ground cinnamon', 'coffee flavored liqueur', '1/2 tablespoons instant espresso coffee granules, divided', 'chocolate chips', ""confectioners' sugar for dusting""]"
Mexican Wedding Cake,"['all-purpose flour', 'baking soda', '½ teaspoon salt', 'white sugar', '', '(20 ounce) can crushed pineapple with juice', 'white sugar', '½ cup butter', 'evaporated milk', 'flaked coconut', 'vanilla extract', '½ cup chopped pecans']"
Miami Beach Cake,"['semisweet chocolate chips', 'butter, melted', 'chopped pecans', 'all-purpose flour', 'baking soda', 'salt', 'butter', '1/2 cups white sugar', '', 'vanilla extract', '1/4 cups buttermilk', 'heavy whipping cream', 'white sugar', 'flaked coconut']"
Michelle's Honeybun Cake,"['(18.25 ounce) box yellow cake mix', '', '(8 ounce) carton sour cream', 'vegetable oil', 'water', 'brown sugar', 'ground cinnamon', ""confectioners' sugar"", 'milk', 'vanilla extract']"
Michelle's Punch Bowl Cake,"['(18.25 ounce) package yellow cake mix', '(16 ounce) package frozen whipped topping, thawed', '(5 ounce) package instant vanilla pudding mix', '(20 ounce) can crushed pineapple, drained']"
Microwave Banana Cake in a Bowl,"['whole wheat flour', '1/2 tablespoons white sugar', 'baking powder', ', mashed', 'milk', 'vegetable oil', '1/2 teaspoons vanilla extract', 'chocolate-hazelnut spread (such as Nutella®), or to taste (optional)']"
Microwave Brownie Cake,"['chocolate chips, or to taste', 'butter', 'packed brown sugar', 'white sugar', 'salt', 'baking soda', 'vanilla extract', 'yolk', 'all-purpose flour']"
Microwave Cake,"['(18.25 ounce) package yellow cake mix', '', '(21 ounce) can apple pie filling', 'applesauce']"
Microwave Chocolate Mug Cake,"['all-purpose flour', 'white sugar', 'unsweetened cocoa powder', 'baking soda', 'salt', 'milk', 'canola oil', 'water', 'vanilla extract']"
Microwave Ginger Cake,"['butter', '', 'brown sugar', 'white sugar', 'molasses', 'vanilla extract', 'whole wheat flour', 'wheat germ', 'ground ginger', 'ground cinnamon', 'baking soda', 'salt', 'Icing:', ""confectioners' sugar"", '1/2 teaspoons water']"
Microwave Mississippi Mud Cake I,"['butter', 'white sugar', 'unsweetened cocoa powder', '', 'vanilla extract', '1/2 cups all-purpose flour', 'coarsely chopped walnuts', 'salt', 'miniature marshmallows', 'butter', 'milk', 'unsweetened cocoa powder', 'vanilla extract', ""confectioners' sugar""]"
Microwave Mississippi Mud Cake II,"['margarine', 'unsweetened cocoa powder', '', 'white sugar', '1/2 cups all-purpose flour', 'chopped walnuts', 'vanilla extract', 'miniature marshmallows', ""confectioners' sugar"", 'unsweetened cocoa powder', 'milk']"
Microwave Nutella® Mug Cake,"['self-rising flour', 'white sugar', ', beaten', 'cocoa powder', 'chocolate-hazelnut spread (such as Nutella®)', 'milk', 'vegetable oil']"
Midnight Moon Cake,"['shortening', '1/4 cups white sugar', '', 'hot water', 'unsweetened cocoa powder', '1/2 cups sifted all-purpose flour', 'salt', 'baking soda', 'baking powder', 'vanilla extract', ""1/2 cups confectioners' sugar"", 'lemon zest', 'ounces lemon juice']"
Million Dollar Cake,"['(18.25 ounce) package yellow cake mix', 'cream cheese', ""1/2 cups confectioners' sugar"", '(20 ounce) can crushed pineapple with juice', '(8 ounce) cans mandarin oranges, drained', '(3.5 ounce) package instant vanilla pudding mix', '(8 ounce) container frozen whipped topping, thawed']"
Millionaire's Cake,"['(20 ounce) can crushed pineapple with juice', '(18.25 ounce) package yellow cake mix', '(8 ounce) package cream cheese', '(12 ounce) container frozen whipped topping, thawed', '(3.5 ounce) package instant vanilla pudding mix', 'milk', 'chopped walnuts']"
Mimi's 300 Dollar Chocolate Cake,"['butter', 'vegetable oil', 'unsweetened cocoa powder', 'water', 'all-purpose flour', 'white sugar', '', 'buttermilk', 'vanilla extract', 'butter', 'heavy cream', 'unsweetened cocoa powder', ""(16 ounce) package confectioners' sugar"", 'vanilla extract']"
Mimi's Tomato Soup Cake,"['shortening', '1/2 cups white sugar', '(10.75 ounce) can  tomato soup', 'water', 'baking soda', 'all-purpose flour', 'salt', 'baking powder', '1/2 teaspoons ground cinnamon', 'ground cloves', '1/2 teaspoons ground nutmeg', '1/2 cups raisins', '1/2 cups chopped walnuts']"
Mincemeat Cake with Pecans,"['cooking spray', 'all-purpose flour', 'baking soda', 'baking powder', 'ground cinnamon, or to taste', 'ground allspice, or to taste', 'salt', 'prepared mincemeat pie filling', '1/2 cups white sugar', '', '1/2 cups raisins', 'whole maraschino cherries, drained (reserve juice)', 'shredded carrots', 'chopped pecans, or more to taste', 'applesauce', 'canola oil', 'ounce brandy flavoring', 'vanilla extract']"
Mincemeat Cake,"['butter', 'white sugar', '', 'baking soda', 'buttermilk', 'all-purpose flour', '(9 ounce) package condensed mincemeat, crumbled', 'Caramel Cream Frosting']"
Mincemeat Spice Cake,"['butter, softened, plus additional for preparing pan', '1/2 cups Pillsbury BEST® All Purpose Flour', '1/2 teaspoons baking powder', 'sugar', 'milk', 'Crosse & Blackwell® Mincemeat Filling & Topping or Crosse & Blackwell® Rum & Brandy Mincemeat Filling & Topping', 'eggs', 'Grated peel of 1 lemon', 'Topping:', 'Crosse & Blackwell® Mincemeat Filling & Topping', 'sugar', 'rolled oats', 'ground cinnamon', 'butter, melted']"
Minnehaha Cake,"['For the Cake:', '1/2 cups white sugar', 'butter', '', 'milk', 'vanilla extract', '1/2 cups all-purpose flour', 'baking powder', 'For the Icing:', '1/2 cups packed brown sugar', 'whites', 'water', 'salt', 'vanilla extract', 'raisins for decorating', 'toasted almonds, for decoration', 'toasted pecans', 'red and green candied cherries']"
Minute Chocolate Mug Cake,"['egg', 'white sugar', 'salt', 'unsweetened cocoa powder', 'butter, melted', 'vegetable oil', 'vanilla extract', 'unsweetened shredded coconut', 'toasted sliced almonds', '1/2 tablespoons miniature semisweet chocolate chips', 'milk', 'all-purpose flour', 'baking powder', ""confectioners' sugar"", 'unsweetened cocoa powder, or as needed']"
Miss Beth's Yoghurt Cake,"['plain yogurt', '1/2 cups all-purpose flour', 'white sugar', 'vegetable oil', '', '(.25 ounce) package active dry yeast', ""confectioners' sugar for dusting""]"
Mississippi Mud Cake I,"['white sugar', '1/2 cups butter, softened', '1/3 cups flaked coconut', '', 'unsweetened cocoa powder', '1/2 cups chopped pecans', '1/2 cups all-purpose flour', 'baking powder', 'vanilla extract', 'marshmallow creme', ""3/4 cups confectioners' sugar"", 'evaporated milk']"
Mississippi Mud Cake II,"['1/4 cups butter, softened', 'unsweetened cocoa powder', 'white sugar', '', '1/2 cups all-purpose flour', 'baking powder', 'salt', '1/2 cups chopped walnuts', 'vanilla extract', '(7 ounce) jar marshmallow creme', 'milk', ""confectioners' sugar"", 'unsweetened cocoa powder']"
Mississippi Mud Cake III,"['3/4 cups strong brewed coffee', 'dark rum', '(1 ounce) squares unsweetened chocolate', 'butter', '', 'white sugar', 'vanilla extract', 'all-purpose flour', 'baking soda', 'salt']"
Mississippi Mud Cake IV,"['butter or margarine, softened', 'white sugar', '', 'vanilla extract', '1/2 cups all-purpose flour', 'unsweetened cocoa powder', 'baking powder', 'salt', 'chopped walnuts', 'miniature marshmallows', 'butter or margarine, softened', 'unsweetened cocoa powder', ""1/2 cups confectioners' sugar"", 'evaporated milk', 'salt', 'chopped walnuts', 'vanilla extract']"
